Species		Std		a 		b 		c 		d 		e 		H 	He	C	N	O	F	Ne	Na	Mg	Al	Si	P	S	Cl	Ar	K	Ca	Ti	V	Cr	Mn	Fe	Ni
SO		42      	 3.21629E+05	-1.27035E+05	2.89402E+01	 1.25603E-04	-9.85969E-09	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
SO2		43     		 4.16261E+05	-2.59787E+05	6.30161E+01	 2.30250E-04	-1.21022E-08	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
SO3		44     		 4.54902E+05	-3.43672E+05	1.00999E+02	 5.09991E-05	 0.00000E+00	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
S2		41      	 2.24963E+05	-1.03636E+05	2.85814E+01	 1.77872E-04	-8.41752E-09	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
Si		0       	 0.00000E+00	 0.00000E+00	0.00000E+00	 0.00000E+00	 0.00000E+00	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
SiC		0      		 8.92245E+03	-1.06824E+05	2.65205E+01	 1.67830E-04	-7.50467E-09	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
SiH		0     		 2.45408E+05	-7.17752E+04	2.29449E+01	 4.52999E-04	-2.69915E-08	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
SiH2		0     		 2.46640E+01	-6.88730E+00	8.37100E-02	-1.00580E-02	 4.92910E-04	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
SiH3		0	    	 3.63290E+01	-1.05560E+01	8.09450E-02	-8.62120E-03	 3.98640E-04	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
SiH3Cl		0  		 8.24263E+05	-3.34096E+05	1.13001E+02	 2.19972E-04	-1.86462E-08	3	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
SiH3F		0	   	 8.45148E+05	-3.80353E+05	1.15028E+02	 2.05416E-04	-1.76493E-08	3	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
SiH4   		0	 	 9.83348E+05	-3.16438E+05	1.13885E+02	 2.90172E-04	-2.37569E-08	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
SiN     	0	 	 3.30323E+05	-1.34105E+05	2.82397E+01	-4.05990E-05	 5.40508E-09	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
SiO  		0	   	 1.82780E+05	-1.92839E+05	3.03804E+01	 4.16079E-04	-1.91035E-08	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
SiO2 	 	0	  	 2.61948E+05	-3.02036E+05	6.59588E+01	 1.07405E-04	 0.00000E+00	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
SiS 		0	    	 1.44507E+05	-1.49916E+05	2.87381E+01	 3.96186E-04	-2.18002E-08	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
Si2		0	     	-1.10204E+05	-7.41179E+04	2.57470E+01	 1.37542E-04	-2.83506E-09	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
Si2C  		0	  	 2.34924E+05	-2.60546E+05	6.29047E+01	 2.75378E-04	-3.64630E-08	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
Ti     		0	  	 0.00000E+00	 0.00000E+00	0.00000E+00	 0.00000E+00	 0.00000E+00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
TiCl    	0		-5.33589E+05	-1.03003E+05	2.14884E+01	 6.10716E-04	-2.38718E-08	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
TiCl2   	0		-3.16823E+05	-2.26943E+05	5.54141E+01	 6.60033E-04	-3.68589E-08	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0
TiF    		0	 	-5.48274E+05	-1.45737E+05	2.28981E+01	 6.05036E-04	-2.20220E-08	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
TiF2  		0	  	-3.40935E+05	-3.14461E+05	5.80688E+01	 6.06642E-04	-3.31096E-08	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
TiN     	0		 1.40330E+01	-6.45520E+00	5.37100E-01	-7.68260E-02	 3.90560E-03	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
TiO    		0	 	-4.38897E+05	-1.58111E+05	2.49224E+01	 1.08714E-03	-5.62504E-08	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
TiOF   		0	 	-8.28389E+05	-2.91571E+05	5.73306E+01	 1.53389E-03	-9.27696E-08	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
TiO2    	0		-3.32351E+05	-3.04694E+05 	5.86984E+01	 1.17096E-03	-5.06729E-08	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
TiS     	0		 1.33160E+01	-6.22160E+00	4.58290E-01	-6.49030E-02	 3.27880E-03	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
V        	0		 0.00000E+00	 0.00000E+00	0.00000E+00	 0.00000E+00	 0.00000E+00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
VO      	0		 3.72448E+05	-1.54943E+05	3.03026E+01	 4.26039E-04	-1.15337E-08	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
VO2     	0		 3.56520E+05	-3.01059E+05	6.17016E+01	 4.49857E-04	 0.00000E+00	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
